index,word,meaning
286,주둥이,SNOUT - 
287,TROPE,문채- 
288,FEWER,더 적은 - 
289,숄,SHAWL - 
290,출생의,NATAL - 
291,COMMA,반점 - 
292,FORAY,침략 - 
293,두려움,SCARE - 
294,STAIR,계단 - 
295,검정색,BLACK - 
296,SQUAD,분대 - 
297,ROYAL,왕실의 - 
298,CHUNK,큰 덩어리 - 
299,MINCE,잘게 썬 고기 - 
300,SHAME,부끄러움 - 
301,CHEEK,뺨 - 
302,AMPLE,충분한 - 
303,재주,FLAIR - 
304,현관,FOYER - 
305,화물,CARGO - 
306,OXIDE,산화물 - 
307,식물,PLANT - 
308,OLIVE,올리브 - 
309,INERT,기력이 없는 - 
310,ASKEW,삐딱하게 - 
311,강도,HEIST - 
312,ZESTY,자극을 주는 - 
313,TRASH,쓰레기 - 
314,LARVA,애벌레 - 